symbol,maturity_date,coupon_rate,frequency,bond_type
17附息国债10,2027-05-04,0.0352,半年,国债
23进出03,2026-04-14,0.0264,年,政策性金融债
25农行二级资本债04A(BC),2035-11-20,0.0214,年,二级资本工具
25建行二级资本债03BC,2035-12-08,0.0224,年,二级资本工具
25农发11,2026-04-09,0.0157,到期,政策性金融债
24国开15,2034-07-19,0.0226,年,政策性金融债
24中行二级资本债01B,2039-02-01,0.0285,年,二级资本工具
23汇金MTN006A,2026-10-27,0.0279999999999999,年,中期票据
24工行二级资本债01A(BC),2034-08-29,0.0225,年,二级资本工具
26中信银行CD025,2027-01-22,0.0,到期,同业存单
25中信银行CD083,2026-03-10,0.0,到期,同业存单
24附息国债11,2034-05-25,0.0227,半年,国债
23农行二级资本债01B,2038-03-23,0.0361,年,二级资本工具
26湖北债09,2056-01-13,0.0249,半年,地方政府债
24建行二级资本债01B,2039-02-05,0.0282,年,二级资本工具
23建行二级资本债01B,2038-03-28,0.0361,年,二级资本工具
23农行二级资本债02B,2038-09-14,0.0335,年,二级资本工具
24农行二级资本债01A,2034-02-06,0.0276,年,二级资本工具
25附息国债07,2032-03-25,0.0179,年,国债
25浦发银行CD306,2026-02-25,0.0,到期,同业存单
25光大银行CD178,2026-03-05,0.0,到期,同业存单
25工商银行CD257,2026-09-18,0.0,到期,同业存单
23农行永续债01,2028-08-28,0.0321,年,无固定期限资本债券
23中行二级资本债03B,2038-10-23,0.0353,年,二级资本工具
24特别国债01,2054-05-20,0.0256999999999999,半年,国债
23附息国债26,2033-11-25,0.0266999999999999,半年,国债
25贴现国债80,2026-03-19,0.0,到期,国债
25中行二级资本债03A(BC),2035-12-24,0.0222,年,二级资本工具
23邮储银行二级资本债01,2038-05-15,0.0339,年,二级资本工具
25建设银行CD193,2026-04-28,0.0,到期,同业存单
25附息国债12,2027-06-15,0.0138,年,国债
23中行二级资本债02B,2038-09-21,0.0337,年,二级资本工具
22国开15,2032-07-18,0.0296,年,政策性金融债
23农行二级资本债03B,2038-10-31,0.0355,年,二级资本工具
22农业银行永续债01,2027-02-22,0.0349,年,无固定期限资本债券
25附息国债08,2026-04-15,0.0137,年,国债
21进出10,2031-07-16,0.0338,年,政策性金融债
24附息国债24,2026-12-15,0.0106,年,国债
25建设银行CD415,2026-08-28,0.0,到期,同业存单
25中国银行CD050,2026-07-24,0.0,到期,同业存单
25中国银行CD023,2026-05-28,0.0,到期,同业存单
25工商银行CD087,2026-03-06,0.0,到期,同业存单
25浦发银行CD122,2026-02-09,0.0,到期,同业存单
22国开20,2032-10-24,0.0277,年,政策性金融债
25中交集MTN002,2027-10-24,0.0186,年,中期票据
24特别国债05,2044-08-15,0.0233,半年,国债
17农发05,2027-01-06,0.0385,年,政策性金融债
24国开10,2034-05-06,0.0235,年,政策性金融债
25建行二级资本债01BC,2035-03-27,0.0207,年,二级资本工具
25贴现国债81,2026-06-25,0.0,到期,国债
25农行二级资本债01B(BC),2040-06-17,0.021,年,二级资本工具
25国开13,2028-01-03,0.0151,季,政策性金融债
21附息国债13,2028-10-14,0.0291,年,国债
25中信银行CD279,2026-03-03,0.0,到期,同业存单
26兴业银行CD015,2027-01-27,0.0,到期,同业存单
25中国银行CD061,2026-09-15,0.0,到期,同业存单
25上海银行CD111,2026-02-25,0.0,到期,同业存单
26中信银行CD035,2027-02-02,0.0,到期,同业存单
26江苏债04,2046-01-28,0.0235,半年,地方政府债
21附息国债11,2026-08-12,0.0269,年,国债
22工行二级资本债04A,2032-11-10,0.03,年,二级资本工具
25超长特别国债01,2045-04-25,0.0197999999999999,半年,国债
25农业银行CD406,2026-08-26,0.0,到期,同业存单
25民生银行CD194,2026-02-12,0.0,到期,同业存单
25华夏银行永续债01,2030-12-02,0.0232,年,无固定期限资本债券
25工行永续债02BC,2030-11-10,0.0220999999999999,年,无固定期限资本债券
23国开05,2033-03-06,0.0302,年,政策性金融债
25贴现国债82,2026-03-26,0.0,到期,国债
25建设银行CD447,2026-03-26,0.0,到期,同业存单
26浙江债07,2046-01-20,0.0246,半年,地方政府债
25兴业银行CD030,2026-02-10,0.0,到期,同业存单
24农发05,2029-04-09,0.0222,年,政策性金融债
25广东债56,2040-09-24,0.0233999999999999,半年,地方政府债
25贴现国债71,2026-02-12,0.0,到期,国债
25中国银行CD054,2026-08-14,0.0,到期,同业存单
25中国银行CD060,2026-02-27,0.0,到期,同业存单
25农业银行CD214,2026-07-14,0.0,到期,同业存单
