债券简称,成交净价,最新收益率,涨跌,加权收益率,交易量
26沪国投MTN001(混合型科创债),99.12,2.2851,8.51,2.2881,1.8
25英大证券CP001,100.1,1.6799,-1.02,1.6799,1.8
24招行永续债01BC,101.4,,,,1.8
25桂林银行永续债02,100.29,,,,1.8
25吉林银行二级资本债02,98.9,2.7053,3.16,2.705,1.8
25陕西建工MTN005,99.0,4.94,14.0,4.945,1.8
25进出清发01,99.95,1.4624,0.25,1.4624,1.8
25国新控股MTN002(稳增长扩投资专项债),100.09,2.2891,-0.09,2.2894,1.8
26无锡国发SCP001,99.97,1.6701,0.01,1.6687,1.8
25光大银行债03,100.23,1.71,1.0,1.71,1.8
25营口港CP002,100.04,1.6685,,1.6685,1.8
25温州银行CD171,99.18,1.555,,1.555,1.8
23开福集团PPN001,100.05,2.0239,11.12,1.9377,1.8
25昆明港通MTN001,100.16,2.3501,-4.08,2.343,1.8
23农发02,108.08,1.8525,1.0,1.8513,1.8
21陕煤化MTN006,101.16,1.6499,-2.02,1.6499,1.8
25广东债18,98.13,2.1737,,2.1739,1.8
22青岛银行永续债01,102.53,,,,1.8
25大连债04,100.78,1.7325,-0.21,1.7322,1.8
24新开发银行债02BC,100.36,1.76,-3.0,1.7638,1.7
24光明MTN003,100.38,1.685,-0.5,1.685,1.7
25浙江债25,95.07,2.34,2.5,2.3401,1.7
25电网MTN015,100.09,2.259,1.0,2.2569,1.7
26昆明城建MTN001,100.0,2.1999,,2.1999,1.7
24中行永续债01,100.81,,,,1.7
25京国资MTN009,100.0,1.76,1.0,1.7588,1.7
26宁海科创PPN001,99.97,2.0961,,2.0914,1.7
21农发05,108.82,1.7325,0.5,1.7284,1.7
23温州银行永续债02,106.32,,,,1.7
26辽宁债02,99.89,2.515,-1.0,2.5179,1.7
20国开20,121.05,2.18,3.25,2.1791,1.7
24建行二级资本债02A,100.99,2.0792,0.01,2.0762,1.7
24交行永续债01BC,101.16,1.95,-3.5,1.95,1.7
23杭州银行02,100.46,1.5501,0.02,1.5483,1.7
26山东债19,99.79,2.5,-1.37,2.5096,1.7
21邹城城资PPN001,101.46,2.2001,-0.48,2.203,1.64
23附息国债19,104.84,1.4825,-0.99,1.4834,1.6
24甘肃债33,102.61,1.71,,1.71,1.6
26川华西MTN001,100.04,2.4865,-1.34,2.4882,1.6
24河南债19,103.46,1.6351,0.29,1.6351,1.6
21莆田国资PPN003,100.17,1.7373,-3.78,1.7373,1.6
24景国资PPN003,100.76,2.5,-23.0,2.4997,1.6
25中化股MTN010,100.42,,,,1.6
22建设银行二级02,108.18,2.7926,0.32,2.7918,1.6
25甘公投MTN004,100.77,2.02,-1.0,2.0199,1.6
22广东债56,107.01,1.72,-0.34,1.72,1.6
22国开行二级资本债01A,101.85,2.5433,0.12,2.5427,1.6
24乐山商业银行二级资本债01,100.21,2.5718,-0.52,2.5721,1.6
21广东债27,108.88,1.595,,1.5963,1.6
21淄博矿业MTN001,100.36,1.67,-4.09,1.67,1.6
24天津农商行二级资本债01,100.69,2.4962,0.04,2.4962,1.6
24江苏银行永续债02,100.82,,,,1.6
20甘肃债06,101.67,1.26,,1.255,1.6
25广东债56,100.74,2.28,1.0,2.28,1.6
23光大银行债01,100.21,1.5202,1.0,1.5202,1.6
26浙江债14,99.14,2.485,-0.5,2.4857,1.6
23南洋银行06,103.4,1.79,,1.79,1.6
05国开20,117.74,1.97,-1.0,1.9694,1.6
24汇金MTN008,100.6,1.71,1.0,1.71,1.6
25青海债10,100.91,1.995,0.5,1.995,1.6
24重庆债21,101.83,1.5025,,1.5013,1.6
25江苏44,97.3,2.5,-1.5,2.5013,1.6
25广东债58,98.34,2.5,-1.25,2.5016,1.6
25九江银行CD116,98.77,1.5495,,1.5495,1.6
23泸州窖MTN001,100.15,1.6638,-3.62,1.6441,1.6
21山东债49,100.79,1.0999,-7.01,1.0999,1.6
21兴业银行二级02,101.39,3.3461,0.11,3.3457,1.52
25湖南债62,99.78,1.985,,1.9867,1.5
25北京银行CD050,98.28,1.5246,-3.56,1.5246,1.5
23北京31,104.68,1.5495,,1.5473,1.5
25铜陵建投MTN005,101.45,2.52,-0.12,2.52,1.5
24重庆银行二级资本债01,100.75,2.1308,1.39,2.1306,1.5
25山东债133,100.68,1.9725,-0.25,1.9717,1.5
25河南债66,100.76,1.815,,1.815,1.5
23内蒙古债29,100.81,1.2001,-5.99,1.2001,1.5
26沪电力SCP005,100.01,1.5949,-0.5,1.6004,1.5
23渤海银行02,100.42,1.5699,-0.01,1.5699,1.5
26宁波债07,99.48,2.515,2.51,2.515,1.5
25农行二级资本债02B(BC),97.67,2.312,0.41,2.308,1.5
26广东债01,99.31,1.9975,0.24,1.9967,1.5
23广州地铁MTN005,102.92,1.76,-5.0,1.76,1.5
26山东债28,99.53,2.5125,0.25,2.5126,1.5
25晋商银行二级资本债01,99.76,2.4882,2.82,2.488,1.5
26华发集团SCP002,100.03,2.505,-0.51,2.5098,1.5
23鲁黄金MTN004(科创票据),100.74,,,,1.5
25中交建筑SCP004,100.0,1.6197,-0.04,1.6197,1.5
21山东债70,117.64,2.2725,1.5,2.2742,1.5
26广发银行CD035,98.48,1.54,,1.54,1.5
25建行绿债02A(BC),100.1,1.68,0.5,1.68,1.5
23桂交投MTN001,100.2,1.6504,1.0,1.6504,1.5
23四川债72,105.23,1.585,0.25,1.585,1.5
22黑龙江债12,107.75,1.74,-0.97,1.7425,1.5
25浦发银行绿色债01,100.07,1.7,1.0,1.7,1.5
25浦发银行CD104,98.29,1.5095,-0.02,1.5095,1.5
25苏国信MTN007,100.0,1.6518,-2.04,1.6518,1.5
24进出清发07,102.61,1.7275,1.0,1.7283,1.5
22光大银行二级资本债01A,102.03,2.7508,0.05,2.7501,1.5
25贵州25,100.43,2.03,-1.0,2.03,1.5
24湖南23,103.81,1.875,0.6,1.8738,1.5
24内蒙古债30,100.78,1.755,1.0,1.755,1.5
22浙江债34,107.17,1.7164,,1.7105,1.5
25建设银行绿色债02,99.52,1.7016,,1.7016,1.5
26广东顺德农商行CD009,98.84,1.55,1.0,1.55,1.5
26浙江诸暨农商行CD009,99.59,1.6501,,1.6501,1.5
26浙江诸暨农商行CD010,99.16,1.6899,,1.6899,1.5
24安徽债22,104.93,2.13,,2.1305,1.5
26江西交投SCP001,99.97,1.62,1.0,1.62,1.5
24河北债13,105.12,1.875,2.25,1.8742,1.5
24湖南债01,102.83,1.4425,1.0,1.4425,1.5
25武汉农商行CD079,99.6,1.4396,,1.4396,1.5
23安徽债98,107.42,1.8175,,1.8175,1.5
22浙江债39,113.25,2.2825,1.75,2.2825,1.5
23交通银行小微债01,100.06,1.4999,0.99,1.5006,1.5
25平安银行CD096,99.19,1.4318,0.15,1.4318,1.5
22河南债01,104.1,1.43,-0.5,1.4333,1.5
25大唐集MTN011(能源保供特别债),100.3,,,,1.5
24宏河集团PPN001,103.09,3.5504,-18.15,3.5512,1.48
25苏州银行二级资本债01,100.99,2.3329,1.0,2.3351,1.48
23空港城发PPN001,100.41,1.9,1.0,1.9029,1.44
23成都农商行永续债01,104.19,,,,1.44
25南电MTN020(科创债),100.34,1.9252,1.0,1.9252,1.4
24附息国债23,102.25,1.76,-0.08,1.7613,1.4
25宿城国资PPN004,100.02,1.7604,-4.01,1.7604,1.4
24四川债32,102.84,1.6675,,1.6675,1.4
26广东债03,99.2,2.481,-0.6,2.4821,1.4
26桐昆SCP002(科创债),100.01,1.7349,-1.5,1.7349,1.4
22国新控股MTN002(能源保供特别债),101.39,1.695,1.0,1.695,1.4
25平安点创SCP006,100.07,2.07,,2.07,1.4
24兴业银行二级资本债01,101.9,2.2437,-0.68,2.2429,1.4
23招商蛇口MTN001,100.46,1.7001,0.01,1.7001,1.4
25吉林银行二级资本债01,99.3,2.6671,0.48,2.6671,1.4
26滨江房产MTN001,99.49,3.02,27.02,3.0307,1.4
24建行二级资本债01A,102.58,2.3878,1.0,2.387,1.4
25先正达MTN001B,98.08,2.61,3.0,2.61,1.4
25湖南盐业MTN001,100.66,,,,1.4
26江苏广电MTN003(科创债),100.0,1.87,,1.87,1.4
24合川城投PPN003,100.85,2.2945,1.24,2.2948,1.4
25农行二级资本债04B(BC),99.65,2.4279,3.14,2.4314,1.4
22工银安盛人寿,102.02,4.1276,-0.19,4.1294,1.4
24农行TLAC非资本债01A(BC),100.71,1.8822,-0.22,1.8844,1.4
26长春轨交MTN001,100.86,,,,1.4
22上海银行二级资本债01,102.42,3.1305,0.27,3.1299,1.4
25建设银行CD415,98.84,1.5236,-0.65,1.524,1.4
25甘金控MTN002,100.82,2.17,-1.0,2.17,1.4
24胶州城投MTN002,100.78,1.83,-9.0,1.83,1.4
22浙江债46,106.74,1.715,0.25,1.715,1.4
25华润银行永续债01,99.73,,,,1.4
25天健集MTN002,100.03,2.32,-6.0,2.32,1.4
22湖北债125,111.98,2.071,0.6,2.0715,1.4
22湖北债103,111.84,2.072,-3.8,2.0705,1.4
24青海债04,102.45,1.665,-0.5,1.6627,1.4
22恒健MTN001,101.36,1.6417,-0.21,1.6406,1.4
22农业银行二级02,108.23,2.7888,-0.53,2.7862,1.4
26厦门债06,99.06,2.49,2.0,2.4925,1.4
24电网MTN001,100.58,1.7,1.5,1.7,1.4
20附息国债06,105.03,1.44,1.0,1.4401,1.4
23湖南债64,100.32,1.0498,2.98,1.0498,1.4
23华润租赁MTN001(碳中和债),100.56,1.6508,-4.73,1.6508,1.36
25华冶科工3ABN001优先,99.99,,,,1.36
26华能SCP004,99.99,1.5962,-0.61,1.5962,1.35
26贴现国开03,99.27,1.4799,-0.01,1.4838,1.3
24汇金MTN007,100.67,1.85,1.0,1.85,1.3
24中信银行债01,100.65,1.6,-2.0,1.6054,1.3
25东财证券CP013,100.0,1.5497,-2.02,1.5503,1.3
24深圳国控MTN001,100.76,1.73,1.0,1.73,1.3
25汇金MTN002,100.19,1.74,-0.5,1.7419,1.3
23农发05,100.18,1.4501,1.03,1.4503,1.3
23广东债03,107.94,1.745,-3.25,1.7451,1.3
25南京银行二级资本债01BC,100.08,2.0405,-0.95,2.0453,1.3
23武侯产业PPN002,100.47,1.93,2.89,1.93,1.3
25平安银行永续债02BC,100.24,,,,1.3
26鲁钢铁SCP001,100.05,1.65,-7.0,1.65,1.3
25汇金MTN006,100.14,1.705,0.5,1.7073,1.3
22四川债84,107.15,1.7375,,1.7375,1.3
23农发04,100.02,1.3335,0.59,1.3335,1.3
23浙江债62,107.58,2.32,1.0,2.3238,1.3
24广发银行永续债02,101.3,,,,1.3
23云南债37,105.83,1.625,1.0,1.625,1.3
25华能集MTN003,100.34,1.75,1.0,1.75,1.3
24工银亚洲债01,100.47,1.73,1.0,1.73,1.3
24中行二级资本债01A,102.65,2.4066,1.0,2.4057,1.3
25江苏债45,98.88,1.9875,2.5,1.9843,1.3
24云能投MTN007,102.41,,,,1.25
26宁波债11,100.02,1.695,0.5,1.6971,1.2
23河南债27,104.93,1.5565,-2.53,1.5595,1.2
21农发08,100.62,1.4651,0.02,1.4651,1.2
25兴业银行绿色债02,100.01,1.655,0.5,1.655,1.2
22江西债65,104.61,1.537,,1.536,1.2
23农发清发07,104.01,1.73,0.5,1.73,1.2
25农发清发07,100.13,1.8171,1.21,1.813,1.2
25南京银行债01BC,100.39,1.73,1.0,1.725,1.2
25曹妃国控MTN001A,101.11,2.0174,,2.02,1.2
24长安银行二级资本债01,102.44,2.6148,-2.77,2.6151,1.2
25中金集MTN003(科创债),99.97,1.79,,1.7895,1.2
23重庆债61,108.45,1.83,0.75,1.8325,1.2
20进出10,105.87,1.71,-0.7,1.7042,1.2
25电网MTN016,100.08,2.26,1.1,2.2583,1.2
24徽商银行永续债01,101.46,,,,1.2
26建发SCP003,100.0,1.85,0.01,1.85,1.2
25电网MTN023,96.15,2.36,1.0,2.36,1.2
25浙江15,94.78,2.35,3.25,2.3517,1.2
24江东控股MTN002,100.83,1.9638,1.86,1.9638,1.2
25中行TLAC非资本债02(BC),100.24,1.8548,-0.35,1.8527,1.2
24悦达MTN003,100.32,2.59,-1.18,2.59,1.2
24长寿开投MTN002,102.05,2.35,-15.0,2.3267,1.2
26西安投资MTN002,100.0,2.07,,2.07,1.2
21江西债09,100.53,1.2101,29.0,1.1401,1.2
24中建投资MTN002,100.83,2.04,-1.0,2.0392,1.2
24华夏金租债01,100.97,1.452,-1.0,1.4513,1.2
24民生银行永续债02,101.78,,,,1.2
26鼓风机MTN002(科创债),99.05,2.11,3.0,2.0394,1.2
25建设银行CD436,99.61,1.418,-1.37,1.4203,1.2
26淮安文旅CP001,100.01,1.68,-4.0,1.68,1.2
24甘国投MTN005,100.44,1.82,,1.82,1.2
25闽投SCP001,99.98,1.6501,3.03,1.6503,1.2
23鲁高速MTN002,100.02,1.5825,2.0,1.5825,1.2
24北京银行01,100.85,1.59,1.0,1.5933,1.2
25浙江民泰商行CD148,98.33,1.65,,1.65,1.2
24农发30,101.3,1.9225,-0.25,1.9236,1.2
25杭州联合农商永续债01,99.83,,,,1.2
21河南11,108.98,1.6025,,1.6038,1.2
25邮政CP001,99.99,1.5964,-0.36,1.5964,1.2
22华能MTN003,109.45,2.04,-0.87,2.0405,1.2
24农发15,100.67,1.68,-0.5,1.68,1.2
25交通银行CD169,98.82,1.5097,0.96,1.5015,1.2
23常德城投MTN002,100.99,1.6801,-5.99,1.6801,1.2
22上海债10,104.46,1.465,-1.25,1.465,1.2
23鲲鹏资本MTN002,100.96,1.6758,0.58,1.6715,1.2
25杭州银行永续债01,100.54,,,,1.2
25南电CP005,99.97,1.57,1.0,1.57,1.2
23建行二级资本债01A,103.51,2.9314,1.0,2.9314,1.2
23华夏银行绿债01,100.07,1.4295,1.91,1.4295,1.2
25温州银行CD189,98.79,1.59,1.0,1.5834,1.2
25中山农商行债01,100.22,1.78,-6.0,1.78,1.2
25中电投MTN010,99.96,1.76,1.0,1.76,1.2
24南京旅游MTN001(资产担保),101.08,1.74,,1.7383,1.16
24临港控股MTN001,101.34,1.898,,1.898,1.12
25厦国贸控MTN006,100.59,,,,1.11
25湖南70,99.82,1.99,1.5,1.99,1.1
24浙江债66,100.49,2.3375,0.75,2.3345,1.1
24中建二局MTN001,101.0,,,,1.1
25先行控股MTN003,100.5,2.2287,-7.4,2.2234,1.1
25盐城资产MTN001A,100.79,1.83,,1.83,1.1
26盐城交通MTN001,100.35,1.99,,1.9818,1.1
23陕延油MTN004,101.23,,,,1.1
24鲁黄金MTN003(科创票据),102.93,1.84,0.67,1.84,1.1
23闽漳龙MTN006,101.23,1.66,-2.0,1.66,1.1
21农业银行永续债01,101.44,3.6967,195.67,3.6967,1.1
22兴业银行二级01,101.52,3.1605,1.0,3.1606,1.1
25诚通控股MTN003(稳增长扩投资专项债),100.86,2.37,1.0,2.3691,1.1
26华澜集团PPN002,100.0,2.9399,-0.01,2.9399,1.1
24泉州银行二级资本债01,101.0,2.4547,1.48,2.4547,1.1
23湖北债103,107.54,1.795,1.0,1.7965,1.1
23工行二级资本债01A,103.57,2.925,-0.11,2.9227,1.1
25京能国际MTN005,100.64,,,,1.1
23农行二级资本债02B,107.02,2.6814,0.01,2.6834,1.1
25光大集团MTN007B,101.27,2.28,2.0,2.2836,1.1
22长交投债01,103.13,4.3533,1.0,4.3533,1.1
23中信银行二级资本债01A,103.66,2.6621,-0.36,2.6632,1.1
26广西债05,99.72,1.68,-0.25,1.68,1.1
23中行二级资本债04A,103.94,2.7273,0.85,2.728,1.1
26河钢集MTN004,100.0,2.0699,2.99,2.0491,1.1
21北京银行永续债01,101.62,,,,1.1
25建设银行CD220,98.38,1.5148,0.97,1.5144,1.1
25海峡银行小微债02,100.32,1.82,,1.82,1.1
25注资特别国债02,99.5,1.655,1.0,1.6527,1.1
23融和融资MTN008(碳中和债),101.07,1.66,0.37,1.6619,1.1
24湖北债89,100.18,2.165,0.25,2.165,1.1
25中国银行CD042,98.42,1.5199,-8.0,1.5246,1.1
25远东租赁MTN001,101.14,1.9773,-6.27,1.9773,1.08
23中国银行三农债01,100.31,2.2558,67.58,1.682,1.08
26京电子城SCP002,100.0,1.9299,,1.9299,1.04
24陕西31,102.02,1.8729,,1.8727,1.0
24陕西27,102.02,1.8729,,1.8727,1.0
25上海债03,99.24,1.8829,,1.8827,1.0
26广州地铁MTN001,100.04,1.94,-1.5,1.9381,1.0
25邮政MTN004,100.01,1.61,-5.99,1.61,1.0
26广州地铁SCP001,99.97,1.5999,-0.01,1.5999,1.0
25宝马中国CP001BC,100.01,1.6799,-0.01,1.6799,1.0
24金茂投资MTN002,100.7,2.3,,2.3,1.0
25华夏银行CD108,98.19,1.5,-5.75,1.5,1.0
24河南债18,103.6,1.6326,-3.04,1.6326,1.0
20江苏09,105.18,1.5923,0.98,1.5924,1.0
25交通银行CD280,99.22,1.5101,-0.01,1.5101,1.0
25中国银行CD029,98.39,1.5102,0.53,1.5102,1.0
25光大银行CD112,98.39,1.5123,0.25,1.5123,1.0
20湖南债20,105.44,1.535,1.0,1.535,1.0
20河北债22,105.08,1.545,0.04,1.545,1.0
25交行TLAC非资本债01A(BC),100.09,1.762,-0.7,1.7655,1.0
24安徽73,101.33,1.5,-2.48,1.5,1.0
24重庆债15,102.24,1.48,-2.89,1.48,1.0
24贵州债17,104.44,1.88,,1.88,1.0
25新乡平原PPN001,100.69,2.5002,1.15,2.5007,1.0
23广东债14,107.87,1.755,-2.5,1.755,1.0
25浦发集团SCP005,99.99,1.5999,-3.01,1.5999,1.0
25光大银行CD250,98.45,1.5401,,1.5401,1.0
25南京银行CD063,98.21,1.5151,-4.5,1.5151,1.0
26邢台路桥MTN001,100.13,2.38,-6.78,2.3787,1.0
26中交路桥SCP002(科创债),99.99,1.6401,1.0,1.6471,1.0
24天津银行债02,100.06,1.745,0.5,1.745,1.0
25上海华谊SCP001,100.0,1.6298,-2.67,1.6298,1.0
24华远地产MTN001,101.27,2.33,,2.331,1.0
26深圳农商银行CD021,98.83,1.5669,,1.5635,1.0
26湖南债04,99.41,2.4875,-0.75,2.4875,1.0
25宁波银行永续债01,100.37,,,,1.0
18附息国债24,130.0,2.36,1.0,2.36,1.0
25江苏银行CD065,98.23,1.5175,1.25,1.5175,1.0
21交通银行二级,101.09,3.4271,0.04,3.4271,1.0
25杭州银行CD062,98.23,1.5175,1.27,1.5175,1.0
25新疆债37,100.28,2.0072,0.97,2.0072,1.0
25水电一局MTN001(科创债),100.39,,,,1.0
25衡阳城投PPN005,100.24,2.14,-1.29,2.1402,1.0
23鄂交投MTN001,100.1,,,,1.0
24铁道MTN003B,104.02,2.4896,-0.04,2.4898,1.0
23华电MTN008B,101.03,,,,1.0
26青岛城投MTN002,99.95,2.1036,0.36,2.1018,1.0
25中金公司CP009,100.0,1.5492,-2.28,1.5557,1.0
24西岸金融PPN003,100.64,2.3811,,2.3817,1.0
25浦发银行01,100.3,1.675,1.0,1.679,1.0
25恒丰银行二级资本债01,100.15,2.3321,1.79,2.3308,1.0
26天津银行CD034,99.61,1.5502,1.0,1.5502,1.0
24科城更新PPN001,100.74,2.3603,-17.98,2.3589,1.0
25贵州债06,98.63,2.3797,4.47,2.3759,1.0
26杭州银行CD021,98.84,1.55,-0.01,1.55,1.0
24皖投集MTN003,102.56,1.98,-1.0,1.9797,1.0
25工商银行CD121,98.12,1.431,0.14,1.431,1.0
26光大银行CD011,98.46,1.56,-0.49,1.56,1.0
25兰州银行CD097,98.79,1.5882,,1.5882,1.0
22眉山发展PPN001,101.2,1.81,1.0,1.8078,1.0
26渤海银行CD040,99.62,1.55,,1.55,1.0
25东裕3秋裕ABN001优先,100.03,,,,1.0
25中银三星人寿永续债01,101.37,,,,1.0
25四川债69,100.41,2.3072,,2.3074,1.0
25交通银行CD195,98.43,1.5251,-5.99,1.5251,1.0
23进出13,100.59,1.475,-1.0,1.475,1.0
25青岛黄岛MTN001A,100.48,2.0579,0.79,2.0607,1.0
24农行永续债01,102.44,,,,1.0
25成都农商银行CD076,99.22,1.5201,1.0,1.5201,1.0
25光大银行CD222,98.43,1.535,1.0,1.535,1.0
25重庆银行CD034,98.35,1.525,1.0,1.525,1.0
19农业银行二级03,108.23,3.4459,-0.36,3.4459,1.0
24佛山建设MTN002,100.42,1.76,-2.64,1.76,1.0
25光大银行CD076,98.1,1.4305,-0.33,1.4305,1.0
23广东债23,107.96,1.7425,0.25,1.7425,1.0
25广东华兴银行CD248,98.29,1.7,,1.7,1.0
25农业银行CD105,98.13,1.3754,-6.97,1.3754,1.0
25浙江债34,94.51,2.345,,2.3435,1.0
25广东顺德农商行CD063,99.6,1.4514,2.21,1.4514,1.0
24四川债47,102.15,2.2487,8.12,2.2487,1.0
26厦国贸控MTN003,100.0,,,,1.0
25徽银金租绿色债01,100.04,1.775,-2.5,1.775,1.0
26张家经投MTN002,100.0,2.95,-5.25,2.9497,1.0
24桐昆MTN001(科创票据),100.1,1.6665,-3.31,1.6665,1.0
25华能MTN012,99.56,1.915,,1.9144,1.0
26温州交通MTN001,100.0,1.8,,1.8,1.0
24河北债37,103.63,2.1727,9.13,2.1727,1.0
25大连银行CD039,97.91,1.5107,7.06,1.5107,1.0
24冀中能源MTN013B(科创票据),99.96,2.94,16.55,2.9257,1.0
25民生银行CD298,98.43,1.5596,0.96,1.5596,1.0
22陕煤化MTN001,101.76,1.65,1.0,1.65,1.0
24鲁高速MTN003,101.15,,,,1.0
25平安证券CP014,100.03,1.5901,-6.0,1.5901,1.0
25交通银行CD295,99.23,1.52,1.0,1.52,1.0
25常德经建PPN001,100.62,2.0,-2.23,1.9993,1.0
24徐州新盛MTN003,103.11,1.88,-0.82,1.88,1.0
25南京银行CD197,99.19,1.5353,-4.47,1.5353,1.0
26江苏银行CD034,98.85,1.55,0.25,1.55,1.0
26宁波银行CD028,99.62,1.5351,-2.47,1.5351,1.0
26长沙银行CD032,99.87,1.5196,,1.5196,1.0
25工商银行CD228,98.43,1.5226,-0.74,1.5226,1.0
22中国银行永续债01,102.16,,,,1.0
25齐鲁银行CD084,98.38,1.5401,0.02,1.5401,1.0
25平安银行CD074,98.41,1.53,0.01,1.53,1.0
25平安租赁SCP006,100.05,1.6599,-2.01,1.6599,1.0
26中金公司CP001,100.01,1.5801,-1.97,1.5801,1.0
25九江银行CD093,98.34,1.5701,,1.5701,1.0
25闽投SCP003,99.99,1.661,,1.6556,1.0
23四川67,106.94,1.8125,,1.8125,1.0
25工商银行CD170,98.38,1.5152,0.54,1.5152,1.0
25齐鲁银行CD082,98.39,1.5398,-0.01,1.5398,1.0
22农行永续债02,102.15,,,,1.0
25江北新城CP001,100.0,1.8025,,1.8025,1.0
24广州农商行永续债01,101.99,,,,1.0
23大唐集MTN004,100.33,,,,1.0
23天津109,108.19,1.8825,1.05,1.8825,1.0
24浙商银行小微债03,100.72,1.61,-0.5,1.61,1.0
26兴业银行CD002,99.61,1.5155,0.5,1.5155,1.0
26山东08,99.74,2.5025,-1.5,2.5025,1.0
24进出13,100.14,1.57,1.0,1.57,1.0
23贵州37,105.72,1.62,1.0,1.62,1.0
23日照高新MTN001,100.16,1.7499,,1.7499,1.0
25鲁高速SCP006,100.02,1.5901,-7.99,1.5901,1.0
25工商银行CD243,98.43,1.5249,-3.51,1.5249,1.0
24美的置业MTN003,100.37,2.8002,,2.8056,1.0
24宁波通商MTN001(科创票据),101.8,1.91,,1.9103,1.0
25建设银行CD282,98.45,1.5224,-0.26,1.5224,1.0
25建设银行CD299,98.43,1.5226,-3.74,1.5226,1.0
25珠海华润银行CD066,98.81,1.55,,1.55,1.0
24国银金租债02,100.53,1.69,1.33,1.6884,1.0
26开源证券CP002,100.01,1.6199,-1.0,1.6199,1.0
25北京银行CD192,99.22,1.5253,1.0,1.5253,1.0
25北京银行CD038,98.06,1.4458,1.0,1.4458,1.0
23兴业银行绿债01,100.15,1.5198,1.2,1.5198,1.0
24广发银行二级资本债01B,99.02,2.3861,1.0,2.3828,1.0
26先进制造PPN001(科创债),99.27,1.9854,15.54,1.9854,1.0
23进出15,102.04,1.625,1.5,1.625,1.0
23吉林债44,102.85,1.468,,1.468,1.0
23天津83,103.15,1.4675,-2.0,1.4675,1.0
26徽商银行CD017,98.84,1.553,0.66,1.553,1.0
21宁波债24,115.24,2.27,0.6,2.27,1.0
25交通银行CD162,98.45,1.52,-0.5,1.52,1.0
25九江银行CD050,98.09,1.5203,,1.5203,1.0
25农业银行CD316,99.19,1.4423,0.34,1.4423,1.0
26九安医疗SCP001(科创债),100.02,1.7,-2.0,1.7,1.0
25渤海银行CD238,98.8,1.5269,,1.5269,1.0
23光大控股MTN001,100.51,1.693,-0.04,1.693,1.0
25中交建MTN001,100.39,1.8,1.0,1.8,1.0
21拱墅投发PPN002,100.56,1.6896,-4.88,1.6896,1.0
25上海银行CD134,99.22,1.5248,1.0,1.5248,1.0
25农业银行CD203,98.79,1.4301,0.1,1.4301,1.0
26湖南银行CD016,99.23,1.553,-4.19,1.5508,1.0
26浦发银行CD040,99.62,1.5258,0.59,1.5198,1.0
25广发银行CD227,98.79,1.5198,-4.04,1.5198,1.0
26诚通控股MTN001A(科创债),100.56,2.355,-2.5,2.361,1.0
25中国银行CD035,98.8,1.4187,-1.13,1.4187,1.0
23浙江41,106.41,1.7725,-2.0,1.7725,1.0
23浙江39,106.41,1.7725,,1.7725,1.0
22江苏债08,107.0,1.6875,-0.5,1.69,1.0
24交行TLAC非资本债01(BC),100.67,1.8514,-0.28,1.8498,1.0
26汉口银行CD034,99.61,1.5501,,1.5501,1.0
25湖北债103,99.96,2.2832,1.32,2.2832,1.0
24杭州银行永续债01,101.31,,,,1.0
25北京农商银行CD116,98.39,1.5199,1.0,1.5199,1.0
26民生银行CD021,99.62,1.5301,,1.5301,1.0
25中铝集SCP001(科创债),100.02,1.6,,1.6,1.0
25江苏银行CD105,98.38,1.5251,1.0,1.5251,1.0
25浦发银行CD166,98.45,1.5199,-0.52,1.5199,1.0
24上海04,101.67,1.4575,-1.34,1.4538,1.0
21哈尔滨银行永续债,100.66,,,,1.0
25北京银行CD124,98.42,1.5324,,1.5324,1.0
25贵州债05,100.3,2.215,1.0,2.215,1.0
23黑龙江37,103.42,1.4675,-1.25,1.4675,1.0
20新疆债16,117.73,2.1635,1.35,2.1648,1.0
25北京银行CD036,98.05,1.438,-1.25,1.438,1.0
22进出07,103.56,1.68,1.0,1.68,1.0
25上海银行CD153,99.22,1.5001,,1.5001,1.0
25平安银行CD137,99.2,1.5102,,1.5102,1.0
24顺德农商小微债02,100.66,1.685,,1.685,1.0
25国航MTN010,100.09,1.815,-3.5,1.815,1.0
21惠民城建PPN002,100.24,2.4505,9.03,2.4505,1.0
16附息国债08,119.34,2.3124,0.24,2.3124,1.0
25北京农商银行CD140,98.79,1.5247,,1.5247,1.0
25内蒙古债35,100.09,2.01,1.0,2.01,1.0
26贴现国开06,99.26,1.4899,1.0,1.4899,1.0
25日照城投PPN001,100.68,2.0868,-0.06,2.0868,1.0
26海运集装SCP001,99.98,1.61,-2.01,1.61,1.0
25厦门银行CD032,98.26,1.5202,-0.01,1.5202,1.0
23内蒙古35,106.12,1.6575,0.17,1.6569,1.0
25民生银行CD084,98.28,1.5155,1.01,1.5155,1.0
25北京债80,100.28,1.53,-0.5,1.53,1.0
26汉口银行CD032,98.81,1.5998,-0.01,1.5998,1.0
18浙江09,106.28,1.42,26.0,1.42,1.0
20湖北债26,105.64,1.55,0.8,1.5499,1.0
25汇金MTN004,100.0,1.7577,-0.23,1.7595,1.0
25工商银行CD269,98.43,1.5374,1.04,1.5374,1.0
26恒丰银行CD035,98.43,1.59,,1.59,1.0
26贵阳银行CD005,99.29,1.3472,-0.29,1.3472,1.0
25北京银行CD048,98.16,1.5202,0.06,1.5202,1.0
25广东债73,100.2,1.9775,-0.75,1.9788,1.0
