债券简称,成交净价,最新收益率,涨跌,加权收益率,交易量
20附息国债17,103.87,1.01,-1.0,1.0136,18.6
23农发15,102.29,1.6275,-0.25,1.6298,18.5
25国开05,97.11,1.93,-0.25,1.9322,18.5
26贴现国债05,99.7,1.2521,0.23,1.2548,18.3
25宁波银行CD200,99.19,1.5198,-0.56,1.5232,18.0
23天津债94,108.54,1.8849,0.99,1.8849,18.0
25北京银行CD088,98.77,1.4399,-0.96,1.4399,18.0
24附息国债18,101.46,1.59,0.25,1.5891,17.8729
26附息国债04,99.84,1.375,1.0,1.3752,17.6
26浦发银行CD061,98.46,1.56,-0.25,1.5593,17.2
22附息国债27,105.2,1.3625,-1.0,1.372,17.06
25附息国债13,100.03,1.2349,0.23,1.24,17.0
25农业银行CD327,99.19,1.4313,-0.8,1.431,17.0
22国开08,101.43,1.535,1.0,1.5343,16.9
26厦门国际银行CD002,99.23,1.54,,1.54,16.5
26中信有限SCP001,100.0,1.6099,,1.6099,16.3
26附息国债01,99.96,1.26,-0.5,1.266,16.1
25浦发银行CD099,98.19,1.5004,-0.46,1.5035,16.0
25农业银行CD098,98.07,1.4402,0.1,1.4402,16.0
26渤海银行CD065,99.61,1.54,-0.01,1.5375,16.0
26成都银行CD038,99.23,1.535,,1.535,16.0
22国开15,106.79,1.8175,1.0,1.8186,15.9
25附息国债11,99.11,1.775,0.25,1.7737,15.6
25农发清发09,99.82,1.5467,0.22,1.5442,15.6
26浦发银行CD066,98.46,1.56,1.0,1.5594,15.5
24进出03,100.53,1.515,-0.25,1.5176,15.4
23天津债96,108.61,1.8849,1.74,1.8849,15.2
25建行二级资本债03BC,100.66,2.1642,0.19,2.1583,15.1
20抗疫国债02,101.92,1.18,-1.0,1.18,15.0
25交通银行CD124,98.38,1.5148,-0.54,1.5148,15.0
25兴业银行CD235,99.2,1.5148,1.0,1.5107,15.0
26民生银行CD042,98.45,1.575,1.0,1.575,15.0
25兴业银行CD244,98.83,1.5224,-5.0,1.5258,15.0
25农业银行CD156,98.39,1.5302,-3.98,1.5302,15.0
24国开02,100.7,1.475,-1.0,1.4819,14.9
25工行永续债01BC,99.66,2.06,4.0,2.06,14.9
25国开清发07,100.34,1.6475,0.5,1.6464,14.7
22农发05,107.3,1.81,-0.3,1.8109,14.65
25交通银行CD157,98.45,1.5249,1.0,1.5235,14.5
25招商银行永续债02BC,99.8,2.095,3.0,2.097,14.2
25交行TLAC非资本债03A(BC),100.26,1.8565,1.0,1.8584,14.1
25中信银行CD395,99.61,1.4401,0.96,1.4342,14.0
25工商银行CD164,98.32,1.5097,-0.53,1.5113,14.0
19国开15,106.03,1.675,0.03,1.674,13.9
26湖南债11,99.58,2.51,-0.98,2.507,13.8
26福建债04,99.94,2.315,-0.16,2.3115,13.7
22附息国债19,105.96,1.625,-0.25,1.6223,13.6
24附息国债06,103.54,1.545,1.0,1.5412,13.5004
25湖南21,99.93,1.6155,,1.6141,13.5
26兴业银行CD033,98.47,1.5575,-0.5,1.5597,13.5
24国开05,105.3,1.895,0.3,1.894,13.4
